Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7004","April","LCU","10000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7005","May","LCU","12000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7006","June","LCU","10000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7007","July","LCU","13000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7008","August","LCU","10000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7009","September","LCU","10000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","LCU","3912","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","LCU","4514","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","LCU","5333","A","Official value"
"PP","Producer Prices","404","Kenya","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","SLC","3707","A","Official value"
"PP","Producer Prices","404","Kenya","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","SLC","3912","A","Official value"
"PP","Producer Prices","404","Kenya","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","SLC","4514","A","Official value"
"PP","Producer Prices","404","Kenya","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","SLC","5333","A","Official value"
"PP","Producer Prices","404","Kenya","5532","Producer Price (USD/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","USD","34.8","A","Official value"
"PP","Producer Prices","404","Kenya","5532","Producer Price (USD/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","USD","35.7","A","Official value"
"PP","Producer Prices","404","Kenya","5532","Producer Price (USD/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","USD","38.3","A","Official value"
"PP","Producer Prices","404","Kenya","5532","Producer Price (USD/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","USD","38.1","A","Official value"
"PP","Producer Prices","404","Kenya","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","115.87","E","Estimated value"
"PP","Producer Prices","404","Kenya","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","122.28","E","Estimated value"
"PP","Producer Prices","404","Kenya","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","141.09","E","Estimated value"
"PP","Producer Prices","404","Kenya","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","166.69","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2020","2020","7021","Annual value","","107","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2021","2021","7021","Annual value","","108.44","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2022","2022","7021","Annual value","","109.91","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2023","2023","7021","Annual value","","105.76","E","Estimated value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","LCU","673","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7001","January","LCU","676","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7002","February","LCU","695","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7003","March","LCU","713","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7012","December","LCU","808","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","LCU","873","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2021","2021","7001","January","LCU","875","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","LCU","1033.5","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7001","January","LCU","1034","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7002","February","LCU","1062","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7003","March","LCU","1073","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7012","December","LCU","1085.8","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","LCU","1114.8","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7001","January","LCU","1101.5","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7002","February","LCU","1137","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7003","March","LCU","1162","A","Official value"
"PP","Producer Prices","764","Thailand","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7012","December","LCU","1327","A","Official value"
"PP","Producer Prices","764","Thailand","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","SLC","673","A","Official value"
"PP","Producer Prices","764","Thailand","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","SLC","873","A","Official value"
"PP","Producer Prices","764","Thailand","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","SLC","1033.5","A","Official value"
"PP","Producer Prices","764","Thailand","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","SLC","1114.8","A","Official value"
"PP","Producer Prices","764","Thailand","5532","Producer Price (USD/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","USD","21.5","A","Official value"
"PP","Producer Prices","764","Thailand","5532","Producer Price (USD/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","USD","27.3","A","Official value"
"PP","Producer Prices","764","Thailand","5532","Producer Price (USD/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","USD","29.5","A","Official value"
"PP","Producer Prices","764","Thailand","5532","Producer Price (USD/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","USD","32","A","Official value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","82.68","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","107.25","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","126.97","E","Estimated value"
"PP","Producer Prices","764","Thailand","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","136.95","E","Estimated value"
"PP","Producer Prices","840","United States of America","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","LCU","45.1","A","Official value"
"PP","Producer Prices","840","United States of America","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","LCU","51.7","A","Official value"
"PP","Producer Prices","840","United States of America","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","LCU","57.4","A","Official value"
"PP","Producer Prices","840","United States of America","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","LCU","84","A","Official value"
"PP","Producer Prices","840","United States of America","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","SLC","45.1","A","Official value"
"PP","Producer Prices","840","United States of America","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","SLC","51.7","A","Official value"
"PP","Producer Prices","840","United States of America","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","SLC","57.4","A","Official value"
"PP","Producer Prices","840","United States of America","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","SLC","84","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","USD","45.1","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","USD","51.7","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","USD","57.4","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","USD","84","A","Official value"
"PP","Producer Prices","840","United States of America","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","125.22","E","Estimated value"
"PP","Producer Prices","840","United States of America","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","143.61","E","Estimated value"
"PP","Producer Prices","840","United States of America","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","159.44","E","Estimated value"
"PP","Producer Prices","840","United States of America","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","233.32","E","Estimated value"
