Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","385","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1729","Treenuts, Total","2023","2023","t","173539.2","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","24563.9","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1735","Vegetables Primary","2020","2020","t","8418910.45","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","24606.4","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1735","Vegetables Primary","2021","2021","t","8528099.21","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","25035.8","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1735","Vegetables Primary","2022","2022","t","8692152.5","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","25638.1","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1735","Vegetables Primary","2023","2023","t","9031181.85","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","45577.1","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","1345431.09","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","42576.4","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","1092231.89","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","41474.5","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","815326.91","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","43470.7","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","1084329.96","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","1076.3","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1729","Treenuts, Total","2020","2020","t","59792.02","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","1075.8","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1729","Treenuts, Total","2021","2021","t","59932.47","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","1074.9","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1729","Treenuts, Total","2022","2022","t","59392.38","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","1073.8","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1729","Treenuts, Total","2023","2023","t","58902.18","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","4898","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1735","Vegetables Primary","2020","2020","t","2965614.79","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","4644.9","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1735","Vegetables Primary","2021","2021","t","2797035.28","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","4884.1","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1735","Vegetables Primary","2022","2022","t","3017488.1","A","Official value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","4861.1","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1735","Vegetables Primary","2023","2023","t","2842320.62","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","80496.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","370500300","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","83566.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","405398710","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","84906.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","439424890","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","83348.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","490533351.06","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","805.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1729","Treenuts, Total","2020","2020","t","1000296","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","806.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1729","Treenuts, Total","2021","2021","t","1030764.39","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","811.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1729","Treenuts, Total","2022","2022","t","1052973","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","852.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1729","Treenuts, Total","2023","2023","t","1110463","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","16018.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1735","Vegetables Primary","2020","2020","t","135883095.61","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","15683.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1735","Vegetables Primary","2021","2021","t","139713590.41","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","15831.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1735","Vegetables Primary","2022","2022","t","148922652.86","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","16076.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","F1735","Vegetables Primary","2023","2023","t","148520894.95","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","75845.2","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","6810898","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","82101.7","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","7659100","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","74599.9","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","8799800","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","68848.8","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","5556100","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","1391","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1729","Treenuts, Total","2020","2020","t","37595.15","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","1215.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1729","Treenuts, Total","2021","2021","t","33380.22","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","1194.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1729","Treenuts, Total","2022","2022","t","32679.99","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","1165.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1729","Treenuts, Total","2023","2023","t","33508.55","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","17559.1","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1735","Vegetables Primary","2020","2020","t","3354703.72","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","15772.8","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1735","Vegetables Primary","2021","2021","t","3126239.45","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","15801.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1735","Vegetables Primary","2022","2022","t","3385300.82","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","14355.2","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1735","Vegetables Primary","2023","2023","t","2969856.02","A","Official value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","35266.8","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","213000","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","35221.1","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","242200","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","35257","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","254000","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","35302","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","213000","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","6750.9","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1735","Vegetables Primary","2020","2020","t","88593.82","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","6418.9","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1735","Vegetables Primary","2021","2021","t","91002.93","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","5183.5","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1735","Vegetables Primary","2022","2022","t","97853.57","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","5820.9","E","Estimated value",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","F1735","Vegetables Primary","2023","2023","t","93430.11","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","43735.2","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","74968070","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","48718.9","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","66725460","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","64575.9","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","92162730","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","57361.9","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","93981770","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","1447.3","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1729","Treenuts, Total","2020","2020","t","38812.83","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","1458.4","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1729","Treenuts, Total","2021","2021","t","39085.71","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","1461.6","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1729","Treenuts, Total","2022","2022","t","39228.16","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","1455.8","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1729","Treenuts, Total","2023","2023","t","39042.23","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","7796.9","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1735","Vegetables Primary","2020","2020","t","2808271.74","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","7787.5","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1735","Vegetables Primary","2021","2021","t","2810570.26","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","7669","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1735","Vegetables Primary","2022","2022","t","2735056.06","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","7690.2","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","F1735","Vegetables Primary","2023","2023","t","2708935.33","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","74790.5","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","63239850","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","76352.1","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","63145500","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","72979.6","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","61067140","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","74238.1","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","61853670","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","3723.8","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1729","Treenuts, Total","2020","2020","t","3747840","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","3403.7","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1729","Treenuts, Total","2021","2021","t","3609330","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","2899.7","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1729","Treenuts, Total","2022","2022","t","3173340","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","3067.5","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1729","Treenuts, Total","2023","2023","t","3420060","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","35060.5","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1735","Vegetables Primary","2020","2020","t","29223752.58","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","33021.7","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1735","Vegetables Primary","2021","2021","t","29255461.33","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","33438.2","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1735","Vegetables Primary","2022","2022","t","29415319.24","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","36963.6","A","Official value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","F1735","Vegetables Primary","2023","2023","t","31253511.27","A","Official value",""
